system:index,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep
4429_0,44,2,92,95,107,1,2,83,11,64,25,6
4430_0,3,15,13,15,15,9,1,9,3,6,9,10
4431_0,33,9,90,67,81,10,18,53,31,74,46,14
4432_0,35,18,70,79,79,15,2,66,12,43,20,16
4433_0,81,3,169,149,161,2,12,140,36,130,56,12
4434_0,68,13,139,115,132,8,28,113,51,120,66,23
4435_0,90,7,217,181,210,3,20,169,45,160,74,23
4436_0,60,3,164,134,154,1,9,115,27,110,53,10
4437_0,15,1,29,35,41,1,1,30,5,17,8,3
4438_0,8,19,18,21,18,15,2,15,4,11,12,11
4439_0,22,17,29,28,33,18,12,26,22,25,17,13
4440_0,17,2,37,47,45,3,2,38,7,23,11,4
4441_0,28,1,93,76,88,0,3,54,13,45,19,1
4442_0,65,4,188,159,190,1,8,128,24,122,55,10
4443_0,44,4,71,69,79,5,4,72,20,45,22,7
4444_0,10,0,52,39,65,10,0,45,9,20,11,2
4445_0,35,1,71,72,80,0,2,63,12,50,20,3
4446_0,102,9,284,221,269,2,13,201,41,209,95,21
4447_0,61,10,124,106,115,6,26,109,49,105,62,23
4448_0,45,0,124,102,134,1,4,82,25,50,33,13
4449_0,37,1,67,66,74,1,2,64,13,42,20,4
4450_0,31,1,67,79,88,2,1,68,7,43,18,6
4451_0,2,14,11,11,11,7,0,6,5,4,6,9
4452_0,31,1,71,83,92,2,1,70,8,42,19,5
4453_0,63,8,112,111,128,8,17,106,39,94,49,18
4454_0,101,13,263,180,229,6,25,183,57,207,107,28
4455_0,2,14,10,12,11,8,0,7,2,4,7,8
4456_0,51,1,93,93,101,1,3,82,19,71,28,4
4457_0,10,12,30,34,34,10,1,23,4,16,9,8
4458_0,47,13,93,65,77,10,23,67,39,79,47,17
4459_0,75,5,205,175,199,2,9,148,26,139,63,12
4460_0,16,1,27,33,35,1,1,32,5,15,7,3
4461_0,24,3,44,43,53,2,1,44,10,28,14,5
4462_0,15,11,24,27,29,12,6,20,14,21,14,12
4463_0,25,1,55,61,69,1,1,52,7,34,14,4
4464_0,5,7,12,20,18,5,1,14,4,7,10,4
4465_0,7,12,27,27,30,7,1,21,2,14,8,7
4466_0,12,12,23,32,30,8,3,24,7,17,11,8
4467_0,25,5,89,99,99,0,3,56,28,47,22,8
4468_0,21,9,44,39,46,9,14,35,27,37,23,11
4469_0,4,5,12,17,17,4,1,10,3,6,8,2
4470_0,1,12,9,10,9,5,0,5,3,3,6,9
4471_0,50,2,104,100,109,1,5,88,18,76,32,6
4472_0,31,15,63,62,78,15,18,58,31,56,32,17
4473_0,26,5,51,63,59,5,2,47,10,31,14,6
4474_0,11,15,27,31,34,13,1,26,5,17,10,10
4475_0,2,8,13,13,12,7,0,7,2,6,6,5
4476_0,4,6,12,18,17,4,1,11,2,6,10,4
4477_0,70,5,178,145,167,2,12,128,31,129,60,13
4478_0,25,9,42,29,35,8,18,33,29,37,28,12
4479_0,49,15,91,72,83,13,31,76,49,84,55,23
4480_0,2,12,9,11,10,5,0,6,2,3,6,8
4481_0,96,6,228,181,218,2,20,165,53,177,78,17
4482_0,16,1,43,58,60,1,1,38,4,25,10,4
4483_0,29,2,48,58,62,3,2,53,9,35,15,6
4484_0,7,20,16,19,17,16,1,13,3,8,10,11
4485_0,24,12,60,64,62,12,1,47,9,34,16,10
4486_0,16,15,32,28,34,16,12,26,19,26,15,11
4487_0,53,12,133,98,117,8,21,92,39,113,64,18
4488_0,73,9,197,154,177,3,16,140,38,149,71,17
4489_0,36,5,67,90,88,5,1,68,10,47,17,9
4490_0,35,10,85,74,91,8,17,64,35,74,40,14
4491_0,62,10,151,126,150,6,21,114,43,125,66,19
4492_0,88,7,227,166,196,3,17,162,43,168,84,19
4493_0,38,12,74,58,64,11,27,62,42,67,46,20
4494_0,29,1,58,91,90,1,2,68,7,41,14,5
4495_0,105,10,247,169,205,4,23,186,52,183,93,25
4496_0,28,1,61,75,77,1,1,61,6,36,15,4
4497_0,62,2,104,102,117,3,9,92,27,83,39,10
4498_0,45,3,133,117,126,1,7,88,20,88,39,7
4499_0,73,5,183,156,179,2,8,141,29,130,61,13
4500_0,32,1,58,67,74,2,2,60,9,41,16,6
4501_0,3,16,12,14,16,10,1,9,3,6,9,10
4502_0,23,8,49,40,46,7,16,35,28,40,26,12
4503_0,4,5,11,17,15,3,1,11,3,5,8,3
4504_0,5,18,15,20,18,11,1,13,3,8,11,10
4505_0,26,13,57,63,63,10,2,49,9,36,15,9
4506_0,53,0,135,116,145,2,7,104,21,61,45,13
4507_0,19,2,47,67,67,1,1,45,6,27,12,4
4508_0,37,1,92,89,97,1,3,71,14,59,26,4
4509_0,24,1,55,63,68,2,1,53,7,34,13,4
4510_0,30,1,55,68,70,1,1,59,6,34,15,5
4511_0,22,9,32,24,29,8,20,25,31,31,23,13
4512_0,20,1,79,64,93,1,1,51,12,39,17,1
4513_0,7,12,17,23,21,10,2,16,4,10,13,7
4514_0,98,8,232,162,192,4,22,174,47,169,86,22
4515_0,1,7,11,13,12,4,1,7,1,3,6,5
4516_0,64,13,173,118,151,7,21,116,43,141,74,21
4517_0,30,1,54,68,71,1,2,57,7,35,14,5
4518_0,47,2,96,92,100,1,4,82,17,68,30,5
4519_0,106,10,293,225,280,3,14,207,44,220,105,22
4520_0,1,1,20,16,31,9,1,15,1,7,1,1
4521_0,19,1,29,36,37,1,1,35,6,19,8,3
4522_0,25,1,57,61,68,1,1,55,7,35,14,3
4523_0,33,26,62,68,68,23,2,60,12,41,20,18
4524_0,9,3,23,29,30,2,1,24,2,14,7,3
4525_0,40,1,97,96,108,1,2,75,12,63,28,3
4526_0,26,1,54,57,63,0,1,50,9,35,16,3
4527_0,55,4,131,112,124,1,12,97,30,91,43,13
4528_0,80,13,222,154,193,6,23,145,49,175,91,24
4529_0,31,1,62,63,69,1,1,57,12,40,18,3
4530_0,25,1,55,66,69,1,1,56,6,33,14,4
4531_0,57,7,161,126,145,3,15,110,33,124,64,17
4532_0,4,6,13,17,18,4,1,11,3,6,9,4
4533_0,52,3,163,130,155,1,8,103,23,105,47,8
4534_0,40,1,82,78,86,1,2,69,14,58,24,4
4535_0,41,3,104,96,105,2,9,77,22,71,32,8
4536_0,52,2,104,100,108,1,4,92,19,75,33,5
4537_0,53,7,143,117,133,4,16,100,31,112,54,15
4538_0,17,17,41,49,50,11,2,44,6,25,14,11
4539_0,34,9,55,43,48,5,18,48,35,46,32,13
4540_0,74,10,152,123,139,4,24,122,50,121,67,24
