system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,BurnMonth
70036_0,244,177.5,190,3,16,8
70128_0,252,175,190,3,1,8
70249_0,343,175,190,3,5,11
70258_0,339,175,189.5,3,2,11
70531_0,190,175,190,3,2,6
70590_0,344,174.5,190,3,3,11
70722_0,208,177.5,189.5,3,2,6
70737_0,198,175.5,190,3,2,6
70839_0,346,176.5,190,3,1,11
70892_0,231,179,216,3,6,7
70923_0,340,175,190,3,3,11
70940_0,281,175,190,3,1,9
70978_0,190,175.5,190,3,3,6
70990_0,234,177,190,3,1,7
71000_0,282,175.5,190,3,2,9
71004_0,344,174.5,190,3,2,11
71022_0,286,175.5,190,3,1,9
71041_0,252,176.5,189.5,3,1,8
71136_0,199,176,190,3,2,6
71255_0,224,177,190,3,4,7
71491_0,339,176.5,189.5,3,1,11
71525_0,282,176,190,3,2,9
71663_0,340,175,189.5,3,3,11
71697_0,339,175,190,3,2,11
71746_0,341,175,189,3,1,11
71822_0,340,175,189.5,3,3,11
71903_0,197,175,190,3,4,6
71935_0,190,176,190,3,4,6
71964_0,191,174.5,189.5,3,2,6
71987_0,284,175.5,190,3,4,9
71989_0,283,176,190,3,3,9
72131_0,247,177.5,190,3,10,8
72277_0,190,176.5,190,3,3,6
72314_0,214,177.5,190,3,2,7
72360_0,244,176.5,189.5,3,14,8
72391_0,198,176,190,3,2,6
72509_0,200,176,190,3,2,6
72781_0,270,175.5,190,3,1,8
73025_0,345,176.5,190,3,4,11
73091_0,221,176.5,217,3,8,7
73195_0,178,175.5,189,3,1,5
73198_0,238,177,190,3,12,7
73421_0,246,175,189.5,3,2,8
73700_0,247,175.5,188.5,3,1,8
74104_0,282,176,190,3,2,9
74242_0,231,177,189.5,3,4,7
74269_0,235,177,190,3,1,7
74425_0,284,175.5,190,3,1,9
74447_0,190,177,190,3,3,6
74586_0,283,175,190,3,4,9
74688_0,186,177,188.5,3,2,6
74757_0,282,176,190,3,2,9
74792_0,282,175.5,190,3,2,9
74866_0,247,177,189.5,3,1,8
75108_0,245,177,190,3,13,8
75196_0,242,177,189.5,3,19,7
75214_0,226,176.5,190,3,1,7
75219_0,192,174.5,189.5,3,4,6
75313_0,198,175.5,190,3,2,6
75460_0,140,174.5,189.5,3,1,4
75891_0,340,176.5,189.5,3,4,11
76196_0,244,190,233,3,3,8
76222_0,246,176.5,189.5,3,3,8
76254_0,345,175,189.5,3,5,11
76409_0,200,176,190,3,3,6
76413_0,339,176,190,3,2,11
76414_0,256,177,190,3,4,8
76423_0,340,176.5,189.5,3,3,11
76524_0,291,175,190,3,6,9
76656_0,233,179,190,3,5,7
76720_0,339,175,189.5,3,2,11
76734_0,282,176,190,3,2,9
77008_0,343,174.5,190,3,5,11
77062_0,210,177.5,189.5,3,2,6
77210_0,339,175,190,3,1,11
77259_0,196,176,190,3,3,6
77280_0,193,174.5,189.5,3,5,6
77309_0,279,175.5,190,3,2,9
77391_0,196,174.5,189.5,3,3,6
77409_0,340,175,190,3,3,11
77417_0,284,177,190,3,3,9
77870_0,343,174.5,190,3,5,11
78232_0,283,175.5,190,3,4,9
78234_0,247,176.5,189.5,3,5,8
78313_0,187,177,190,3,2,6
78317_0,345,174.5,190,3,5,11
78415_0,344,174.5,190,3,6,11
78539_0,211,177,187,3,6,6
78548_0,193,177.5,189.5,3,2,6
78633_0,224,178.5,189.5,3,1,7
78643_0,283,176,190,3,3,9
78749_0,195,174.5,189.5,3,2,6
78819_0,236,179,190,3,16,7
78825_0,172,176.5,188.5,3,2,5
78934_0,347,178,190,3,4,11
79042_0,339,175,190,3,2,11
79051_0,339,175,189.5,3,2,11
79149_0,194,175.5,190,3,1,6
79264_0,341,175,189,3,1,11
79283_0,246,176.5,189,3,4,8
79695_0,283,176,190,3,1,9
79794_0,284,177,190,3,2,9
79798_0,196,176,190,3,4,6
80035_0,193,177.5,188.5,3,2,6
80199_0,339,175,190,3,2,11
80203_0,282,175.5,190,3,2,9
80356_0,127,175.5,190,3,1,4
80462_0,340,175,190,3,3,11
80566_0,252,205.5,247,3,1,8
80669_0,195,177,189.5,3,2,6
80810_0,282,175.5,190,3,2,9
